time,abalone_ID,size_class,status,treatment,tank_ID
23,34,60,0,amb,5
23,35,60,0,amb,11
23,36,60,0,amb,5
23,37,60,0,amb,9
23,38,60,1,hw,17
23,39,60,0,hw,17
23,40,60,0,hw,16
23,41,60,0,hw,16
23,42,60,0,amb,5
23,43,60,0,hw,16
23,44,60,1,hw,12
23,45,60,1,hw,17
23,46,60,0,amb,9
23,47,60,0,amb,11
23,48,60,0,amb,9
23,49,60,0,amb,11
23,50,60,0,amb,9
23,51,60,1,hw,12
23,52,60,0,hw,17
23,53,60,1,hw,12
23,54,60,1,hw,12
23,55,60,0,hw,16
23,56,60,0,amb,11
23,57,60,0,amb,11
23,58,60,1,hw,12
23,59,60,0,amb,5
23,60,60,0,hw,16
23,61,90,1,hw,4
23,62,90,0,amb,20
23,63,90,0,amb,10
23,64,90,0,amb,10
23,65,90,1,hw,6
23,66,90,0,amb,3
23,67,90,1,hw,6
23,68,90,0,amb,3
23,69,90,0,amb,3
23,70,90,0,hw,19
23,71,90,0,hw,19
23,72,90,1,hw,4
23,73,90,0,amb,20
23,74,90,0,amb,3
23,75,90,0,hw,19
23,76,90,0,amb,3
23,77,90,1,hw,6
23,78,90,1,hw,4
23,79,90,0,amb,10
23,80,90,1,hw,4
23,81,90,0,amb,10
23,82,90,0,hw,19
23,83,90,0,amb,20
23,84,90,0,hw,19
23,85,90,0,amb,20
23,86,90,1,hw,6
23,87,90,0,amb,10
23,88,90,0,amb,20
23,89,90,1,hw,4
23,90,90,1,hw,6
